Valor1,Codigo_Operador,Valor2,Resultado
88,0,51,139
66,3,36,1.833
44,2,5,220
71,0,7,78
65,2,37,2405
26,0,69,95
17,1,49,-32
26,3,59,0.441
58,3,55,1.055
47,2,63,2961
51,0,14,65
33,3,77,0.429
68,2,50,3400
60,2,44,2640
86,1,60,26
50,2,74,3700
88,3,68,1.294
83,1,52,31
44,1,76,-32
13,1,84,-71
52,2,93,4836
32,2,37,1184
3,2,34,102
19,3,38,0.5
49,2,57,2793
71,0,74,145
50,0,11,61
43,1,50,-7
11,0,65,76
81,1,55,26
7,1,72,-65
45,1,77,-32
78,1,47,31
4,1,64,-60
75,2,34,2550
12,3,56,0.214
23,2,14,322
84,3,16,5.25
41,3,100,0.41
71,3,39,1.821
82,0,22,104
83,0,4,87
41,0,48,89
2,1,67,-65
44,1,9,35
100,1,79,21
13,1,17,-4
12,2,79,948
28,2,35,980
87,3,95,0.916
70,3,84,0.833
50,0,78,128
7,1,5,2
45,1,10,35
59,3,61,0.967
83,3,1,83.0
9,2,82,738
79,3,49,1.612
93,2,48,4464
36,3,14,2.571
36,2,89,3204
61,0,26,87
8,1,6,2
10,2,84,840
100,1,12,88
20,0,52,72
99,3,86,1.151
91,3,93,0.978
48,2,40,1920
41,3,50,0.82
28,0,100,128
15,1,93,-78
54,3,18,3.0
48,1,63,-15
91,0,9,100
44,2,93,4092
66,2,69,4554
16,3,13,1.231
12,2,17,204
67,1,87,-20
26,2,13,338
68,3,17,4.0
44,0,49,93
66,0,94,160
3,0,75,78
58,3,66,0.879
32,3,49,0.653
15,1,26,-11
78,3,93,0.839
31,0,67,98
87,2,44,3828
26,2,76,1976
14,0,23,37
36,0,68,104
1,1,82,-81
67,1,20,47
1,0,41,42
31,1,46,-15
71,3,40,1.775
45,3,3,15.0
64,1,16,48
38,2,56,2128
68,3,6,11.333
66,1,43,23
89,0,9,98
52,2,58,3016
6,0,42,48
17,2,1,17
34,3,37,0.919
82,2,14,1148
91,2,97,8827
94,0,10,104
29,1,39,-10
14,0,90,104
56,0,53,109
23,1,33,-10
93,2,59,5487
63,0,57,120
85,2,87,7395
35,2,18,630
81,0,28,109
7,3,47,0.149
86,0,29,115
33,0,31,64
6,2,33,198
52,1,38,14
16,1,60,-44
94,0,77,171
26,1,86,-60
38,0,32,70
67,3,56,1.196
30,3,44,0.682
77,2,38,2926
72,1,37,35
98,2,2,196
3,0,5,8
36,1,59,-23
58,2,49,2842
84,2,12,1008
30,1,53,-23
48,3,71,0.676
64,0,51,115
97,2,81,7857
46,2,53,2438
77,2,12,924
8,0,6,14
7,2,99,693
60,3,46,1.304
32,2,60,1920
99,2,34,3366
86,3,99,0.869
91,1,61,30
26,1,19,7
16,0,54,70
88,1,53,35
82,1,47,35
17,0,36,53
70,3,74,0.946
85,2,7,595
62,2,67,4154
39,0,26,65
50,1,78,-28
9,1,65,-56
78,3,14,5.571
8,0,73,81
58,2,69,4002
48,0,56,104
99,2,93,9207
29,3,28,1.036
18,1,69,-51
76,0,55,131
98,0,100,198
69,2,31,2139
26,2,8,208
4,2,35,140
50,1,11,39
75,2,55,4125
66,0,15,81
79,3,75,1.053
79,1,77,2
49,2,31,1519
73,1,71,2
45,3,18,2.5
37,1,93,-56
75,1,98,-23
14,2,82,1148
84,3,91,0.923
26,0,78,104
13,1,7,6
4,2,49,196
80,3,71,1.127
53,3,68,0.779
3,1,97,-94
51,2,99,5049
51,0,23,74
50,3,22,2.273
58,0,34,92
93,1,70,23
38,1,94,-56
38,2,97,3686
94,3,19,4.947
66,0,82,148
60,0,60,120
100,2,43,4300
73,1,4,69
37,1,26,11
47,1,52,-5
82,3,53,1.547
72,3,80,0.9
50,0,20,70
11,1,74,-63
3,1,30,-27
33,3,45,0.733
78,0,19,97
93,1,3,90
100,0,64,164
38,1,27,11
14,2,63,882
74,3,2,37.0
82,0,31,113
50,2,78,3900
43,1,87,-44
81,1,92,-11
96,1,37,59
47,0,4,51
31,2,96,2976
74,3,61,1.213
81,3,60,1.35
11,1,7,4
28,0,42,70
67,3,6,11.167
50,0,87,137
6,1,83,-77
67,2,54,3618
78,0,86,164
7,2,89,623
84,3,68,1.235
89,3,54,1.648
4,3,89,0.045
11,3,48,0.229
71,1,44,27
10,1,50,-40
61,0,35,96
14,3,29,0.483
20,0,61,81
7,1,42,-35
38,3,39,0.974
26,0,8,34
45,3,38,1.184
86,2,60,5160
67,1,10,57
6,1,16,-10
57,1,100,-43
31,0,9,40
2,1,37,-35
35,2,81,2835
100,1,49,51
65,3,61,1.066
84,2,16,1344
91,2,58,5278
97,1,45,52
46,3,73,0.63
61,1,67,-6
29,3,15,1.933
94,1,37,57
87,2,67,5829
62,0,91,153
36,2,4,144
33,3,10,3.3
96,3,83,1.157
92,3,30,3.067
66,3,20,3.3
60,3,9,6.667
11,3,83,0.133
58,2,78,4524
57,1,33,24
56,1,62,-6
32,0,65,97
57,3,23,2.478
55,3,72,0.764
14,0,32,46
46,3,59,0.78
27,2,10,270
49,3,28,1.75
1,0,50,51
46,2,10,460
59,3,42,1.405
81,3,100,0.81
65,3,46,1.413
91,3,54,1.685
43,2,98,4214
89,0,18,107
6,0,51,57
23,3,71,0.324
82,2,20,1640
72,0,7,79
10,0,87,97
12,1,85,-73
32,3,65,0.492
58,2,98,5684
31,1,83,-52
14,0,99,113
64,1,53,11
33,2,10,330
37,3,39,0.949
66,1,80,-14
1,3,74,0.014
12,2,6,72
52,3,85,0.612
27,1,49,-22
70,2,47,3290
33,3,89,0.371
86,0,38,124
23,1,70,-47
70,2,72,5040
12,2,80,960
90,0,74,164
80,3,14,5.714
87,3,11,7.909
51,0,11,62
48,3,33,1.455
31,1,16,15
22,1,44,-22
95,0,75,170
63,2,96,6048
84,1,78,6
42,0,77,119
42,1,94,-52
3,0,14,17
87,3,77,1.13
67,2,77,5159
74,2,26,1924
82,3,27,3.037
65,2,74,4810
100,2,32,3200
23,1,3,20
8,0,15,23
11,0,62,73
93,3,76,1.224
14,2,83,1162
34,0,96,130
21,3,44,0.477
89,3,89,1.0
27,2,57,1539
16,0,63,79
25,3,9,2.778
84,1,11,73
42,1,27,15
98,0,42,140
83,0,1,84
56,2,9,504
1,3,1,1.0
42,3,24,1.75
48,3,83,0.578
23,3,33,0.697
49,2,5,245
73,2,50,3650
46,1,36,10
88,0,2,90
98,3,43,2.279
85,0,27,112
82,2,94,7708
34,2,66,2244
63,2,39,2457
8,2,71,568
40,2,82,3280
54,2,90,4860
17,3,17,1.0
95,2,85,8075
71,2,19,1349
10,2,96,960
76,0,64,140
77,2,64,4928
83,3,33,2.515
84,0,57,141
70,1,55,15
68,3,59,1.153
35,2,16,560
66,0,24,90
84,2,20,1680
11,3,27,0.407
85,0,94,179
42,3,59,0.712
33,1,51,-18
71,1,56,15
25,2,28,700
39,2,21,819
41,2,23,943
37,0,97,134
55,2,28,1540
51,1,23,28
100,0,6,106
99,2,6,594
55,0,68,123
9,2,48,432
80,1,14,66
5,3,45,0.111
44,1,36,8
67,0,80,147
51,3,9,5.667
34,3,54,0.63
10,1,40,-30
43,1,10,33
84,3,82,1.024
7,1,32,-25
10,3,3,3.333
57,2,12,684
99,1,38,61
89,3,64,1.391
63,1,60,3
52,3,38,1.368
88,3,37,2.378
36,0,65,101
78,0,28,106
100,0,73,173
88,2,62,5456
6,1,6,0
19,2,81,1539
15,2,85,1275
2,1,27,-25
86,2,66,5676
100,1,39,61
94,2,6,564
20,0,3,23
39,1,45,-6
29,3,25,1.16
87,0,58,145
3,1,67,-64
53,2,95,5035
77,2,58,4466
46,0,84,130
44,2,31,1364
56,0,50,106
96,1,74,22
78,0,95,173
60,2,28,1680
52,2,23,1196
27,2,82,2214
3,3,46,0.065
5,3,16,0.312
51,3,25,2.04
20,0,70,90
67,3,74,0.905
39,2,10,390
57,2,41,2337
85,3,80,1.062
79,2,40,3160
96,3,20,4.8
70,0,81,151
53,3,80,0.662
47,3,99,0.475
38,0,29,67
8,3,51,0.157
35,0,54,89
57,0,99,156
39,3,65,0.6
43,2,94,4042
40,0,55,95
62,0,100,162
19,3,6,3.167
86,3,52,1.654
42,2,96,4032
80,2,34,2720
28,3,76,0.368
36,3,64,0.562
72,3,92,0.783
61,3,35,1.743
5,1,76,-71
12,1,13,-1
97,1,82,15
94,1,74,20
16,3,9,1.778
86,3,19,4.526
32,0,74,106
92,2,56,5152
17,0,33,50
56,3,23,2.435
62,2,32,1984
47,3,4,11.75
60,1,78,-18
98,1,83,15
23,3,1,23.0
8,2,70,560
57,1,70,-13
56,1,99,-43
19,2,46,874
89,1,69,20
50,3,23,2.174
85,0,15,100
14,2,44,616
72,3,72,1.0
22,2,50,1100
55,1,73,-18
97,1,15,82
18,3,40,0.45
48,2,71,3408
19,1,95,-76
61,1,37,24
52,1,65,-13
68,2,99,6732
10,0,96,106
16,1,87,-71
37,0,18,55
59,0,63,122
60,1,11,49
9,2,14,126
15,0,97,112
76,3,39,1.949
15,2,28,420
56,1,32,24
54,3,100,0.54
94,2,13,1222
85,2,1,85
68,2,3,204
71,2,87,6177
3,3,12,0.25
39,2,79,3081
3,2,14,42
59,2,36,2124
55,1,6,49
4,3,94,0.043
19,1,28,-9
11,0,4,15
90,0,83,173
34,3,21,1.619
16,1,20,-4
14,2,25,350
33,3,9,3.667
34,0,38,72
17,2,16,272
95,0,84,179
35,2,79,2765
42,0,86,128
60,0,57,117
30,1,13,17
80,2,52,4160
22,1,81,-59
65,0,58,123
32,3,24,1.333
5,2,53,265
12,0,60,72
91,1,21,70
69,2,12,828
10,3,13,0.769
93,0,50,143
74,0,88,162
79,2,33,2607
21,2,40,840
21,0,90,111
23,0,8,31
71,3,59,1.203
25,2,37,925
22,1,14,8
73,1,98,-25
30,2,3,90
92,0,47,139
17,2,20,340
18,3,50,0.36
4,3,71,0.056
52,2,81,4212
83,2,86,7138
82,3,52,1.577
36,2,41,1476
67,3,60,1.117
76,0,73,149
39,1,40,-1
62,0,21,83
42,2,61,2562
23,0,75,98
84,0,66,150
19,3,23,0.826
3,2,81,243
76,1,39,37
9,3,48,0.188
100,2,63,6300
40,1,61,-21
73,1,31,42
59,3,63,0.937
7,2,79,553
70,0,69,139
37,1,53,-16
85,3,33,2.576
5,2,42,210
37,3,11,3.364
88,3,52,1.692
95,0,14,109
29,3,24,1.208
3,1,57,-54
75,0,70,145
69,2,51,3519
92,1,55,37
24,3,18,1.333
85,3,49,1.735
36,1,96,-60
55,0,77,132
62,2,14,868
57,2,86,4902
96,1,64,32
69,3,68,1.015
67,0,89,156
87,1,50,37
32,1,62,-30
7,0,80,87
79,3,32,2.469
73,0,36,109
50,3,30,1.667
28,1,83,-55
48,3,11,4.364
54,0,74,128
59,1,18,41
77,2,90,6930
83,1,84,-1
78,0,37,115
3,2,6,18
53,2,82,4346
29,3,14,2.071
25,0,39,64
10,1,77,-67
14,2,64,896
43,1,47,-4
18,3,21,0.857
49,3,91,0.538
43,0,10,53
64,2,16,1024
20,3,46,0.435
87,0,67,154
54,1,13,41
46,0,93,139
72,3,76,0.947
99,3,79,1.253
6,1,43,-37
65,1,79,-14
89,3,41,2.171
2,1,64,-62
100,1,76,24
56,0,59,115
73,3,33,2.212
57,0,41,98
15,0,85,100
91,3,87,1.046
10,1,10,0
11,3,52,0.212
94,1,64,30
77,3,56,1.375
4,2,72,288
21,1,88,-67
30,3,93,0.323
9,0,44,53
27,0,15,42
8,2,41,328
24,3,9,2.667
98,3,95,1.032
26,2,53,1378
100,1,9,91
50,2,32,1600
95,0,72,167
11,3,85,0.129
90,1,99,-9
52,2,46,2392
30,1,92,-62
96,0,54,150
35,0,63,98
97,1,5,92
61,1,27,34
24,1,29,-5
65,3,87,0.747
82,3,55,1.491
21,1,21,0
53,1,95,-42
76,3,49,1.551
85,1,94,-9
60,1,1,59
8,0,12,20
43,3,69,0.623
82,1,86,-4
5,0,37,42
27,0,82,109
56,1,22,34
93,1,40,53
40,2,75,3000
54,3,53,1.019
10,0,38,48
32,0,83,115
74,0,76,150
59,0,5,64
85,2,86,7310
64,1,80,-16
98,0,39,137
29,2,99,2871
78,3,35,2.229
97,3,83,1.169
79,0,77,156
18,0,86,104
20,1,58,-38
53,1,28,25
85,1,27,58
11,1,44,-33
85,0,24,109
49,1,49,0
59,3,89,0.663
97,2,98,9506
23,1,97,-74
90,0,25,115
15,1,53,-38
53,2,31,1643
12,1,45,-33
37,0,27,64
58,2,10,580
59,0,72,131
28,2,81,2268
7,3,71,0.099
64,1,13,51
9,1,37,-28
99,2,56,5544
77,0,43,120
91,3,16,5.688
21,2,93,1953
67,1,47,20
91,2,18,1638
93,3,16,5.812
7,0,1,8
29,0,46,75
100,2,52,5200
30,3,59,0.508
16,3,97,0.165
68,0,47,115
90,0,92,182
31,2,53,1643
20,3,24,0.833
30,0,83,113
50,3,47,1.064
34,0,47,81
37,0,94,131
100,2,60,6000
38,3,75,0.507
100,0,3,103
36,2,81,2916
15,3,18,0.833
78,1,32,46
85,2,6,510
42,1,54,-12
42,0,95,137
32,3,74,0.432
98,3,3,32.667
37,2,75,2775
60,0,66,126
77,3,17,4.529
42,3,35,1.2
7,0,68,75
51,3,84,0.607
71,3,14,5.071
65,0,67,132
37,3,70,0.529
74,1,67,7
12,0,69,81
82,2,68,5576
13,0,51,64
5,2,64,320
79,0,7,86
34,2,75,2550
35,2,31,1085
68,1,55,13
52,2,11,572
21,0,99,120
43,3,92,0.467
70,1,82,-12
23,0,17,40
84,0,8,92
47,2,14,658
1,2,62,62
75,2,18,1350
36,1,86,-50
43,0,89,132
69,1,56,13
92,0,56,148
33,1,78,-45
90,3,13,6.923
76,0,82,158
88,1,80,8
70,1,15,55
8,2,40,320
62,0,30,92
23,0,84,107
84,0,75,159
95,3,17,5.588
9,0,32,41
17,2,39,663
36,1,19,17
56,2,23,1288
70,0,78,148
22,0,93,115
33,1,11,22
15,2,39,585
41,2,24,984
32,0,4,36
76,1,76,0
40,1,98,-58
29,2,92,2668
88,1,13,75
73,1,68,5
62,3,2,31.0
55,0,86,141
40,0,52,92
62,0,97,159
14,2,6,84
1,1,67,-66
41,3,71,0.577
39,1,72,-33
3,1,94,-91
45,0,53,98
67,0,98,165
91,3,40,2.275
46,3,90,0.511
58,3,83,0.699
73,0,45,118
51,2,43,2193
76,1,9,67
54,0,83,137
58,1,96,-38
40,1,31,9
56,0,1,57
78,0,46,124
9,3,82,0.11
87,1,87,0
17,2,43,731
25,0,48,73
80,2,83,6640
39,1,5,34
47,3,14,3.357
43,0,19,62
97,2,25,2425
3,1,27,-24
90,1,89,1
32,2,99,3168
36,3,70,0.514
72,3,98,0.735
24,0,57,81
85,2,46,3910
97,3,3,32.333
70,3,44,1.591
30,0,4,34
52,0,49,101
58,1,29,29
96,1,34,62
56,0,68,124
35,0,5,40
54,1,50,4
15,0,94,109
57,0,50,107
87,1,20,67
42,0,16,58
94,2,88,8272
93,1,30,63
58,2,39,2262
90,1,22,68
17,1,46,-29
53,3,58,0.914
59,2,47,2773
11,3,9,1.222
65,2,23,1495
38,3,58,0.655
48,3,58,0.828
75,0,9,84
27,0,24,51
37,2,1,37
30,0,71,101
34,0,35,69
69,3,57,1.211
79,2,80,6320
86,1,57,29
66,3,32,2.062
35,0,72,107
96,0,63,159
97,2,33,3201
98,2,38,3724
8,3,99,0.081
96,3,42,2.286
21,0,20,41
98,3,94,1.043
9,2,11,99
98,3,34,2.882
43,2,56,2408
89,1,96,-7
65,0,55,120
45,1,74,-29
5,0,46,51
72,3,46,1.565
27,0,91,118
4,1,61,-57
97,1,42,55
54,0,13,67
42,1,66,-24
78,3,53,1.472
13,0,39,52
50,2,36,1800
45,2,97,4365
92,3,6,15.333
74,0,85,159
59,0,14,73
76,0,3,79
98,0,48,146
60,1,38,22
30,3,53,0.566
24,3,39,0.615
28,2,96,2688
12,3,78,0.154
18,1,54,-36
44,2,57,2508
18,0,95,113
56,1,59,-3
85,0,33,118
55,1,33,22
79,1,62,17
19,1,55,-36
17,3,27,0.63
75,1,83,-8
76,2,23,1748
37,0,36,73
83,3,58,1.431
51,3,72,0.708
76,0,70,146
55,0,7,62
77,0,52,129
41,3,62,0.661
67,2,86,5762
28,2,19,532
15,1,90,-75
60,0,8,68
24,3,36,0.667
67,0,19,86
11,3,25,0.44
7,0,10,17
29,0,55,84
77,3,84,0.917
68,0,56,124
96,2,83,7968
75,1,16,59
67,1,84,-17
17,3,94,0.181
100,0,12,112
41,1,20,21
55,0,74,129
97,3,25,3.88
38,1,12,26
31,3,27,1.148
60,0,75,135
99,1,77,22
46,0,23,69
63,1,99,-36
7,0,77,84
48,3,63,0.762
92,2,42,3864
45,3,16,2.812
40,2,51,2040
50,2,20,1000
12,0,78,90
34,1,47,-13
78,0,34,112
6,3,11,0.545
79,0,16,95
18,0,25,43
41,3,22,1.864
48,2,31,1488
66,1,40,26
84,0,17,101
99,1,10,89
87,0,64,151
1,2,71,71
63,1,32,31
53,3,43,1.233
21,3,82,0.256
87,3,13,6.692
88,3,87,1.011
70,0,20,90
81,2,96,7776
92,0,65,157
69,2,32,2208
68,1,92,-24
89,0,90,179
63,2,85,5355
57,0,38,95
42,2,21,882
56,2,12,672
1,3,16,0.062
69,1,93,-24
61,2,16,976
62,0,39,101
73,3,85,0.859
31,3,68,0.456
87,2,66,5742
9,3,95,0.095
9,0,41,50
76,2,94,7144
95,3,24,3.958
32,1,89,-57
70,0,87,157
26,1,83,-57
23,2,39,897
32,0,13,45
23,2,41,943
72,1,34,38
92,1,15,77
36,1,56,-20
99,2,19,1881
40,0,61,101
75,2,72,5400
63,3,97,0.649
30,2,31,930
91,1,58,33
26,1,16,10
88,1,50,38
28,1,43,-15
45,3,75,0.6
10,0,35,45
32,0,80,112
59,0,2,61
41,2,30,1230
69,2,71,4899
44,3,3,14.667
42,2,16,672
68,2,52,3536
89,3,83,1.072
96,2,78,7488
15,0,36,51
50,1,75,-25
82,0,91,173
43,2,18,774
35,2,29,1015
43,0,28,71
40,3,25,1.6
30,2,43,1290
6,2,67,402
24,0,66,90
13,1,71,-58
11,2,17,187
73,2,22,1606
45,2,94,4230
40,3,63,0.635
90,0,22,112
30,0,13,43
83,2,2,166
21,3,83,0.253
56,0,77,133
63,3,37,1.703
50,1,8,42
42,0,25,67
15,3,48,0.312
66,2,39,2574
81,2,90,7290
7,2,30,210
4,3,81,0.049
22,0,32,54
30,2,55,1650
2,0,88,90
13,1,4,9
43,2,69,2967
34,0,44,78
93,1,67,26
41,3,23,1.783
12,2,95,1140
43,3,65,0.662
90,1,59,31
74,0,27,101
25,2,30,750
96,0,72,168
35,0,81,116
23,3,2,11.5
15,2,50,750
42,0,92,134
21,0,29,50
76,3,64,1.188
20,1,85,-65
14,1,79,-65
55,2,78,4290
47,1,49,-2
30,2,67,2010
40,3,68,0.588
85,1,54,31
60,3,21,2.857
11,1,71,-60
15,3,3,5.0
5,0,55,60
47,2,35,1645
15,1,80,-65
13,0,48,61
65,2,59,3835
74,0,94,168
2,2,15,30
76,0,12,88
21,0,96,117
20,1,18,2
84,0,5,89
23,0,14,37
14,1,12,2
30,2,79,2370
87,2,18,1566
11,1,4,7
67,1,74,-7
4,0,52,56
60,3,90,0.667
6,1,80,-74
8,2,82,656
85,0,42,127
28,2,34,952
46,3,77,0.597
24,2,43,1032
15,1,13,2
34,3,75,0.453
12,2,33,396
76,2,34,2584
71,1,41,30
100,2,80,8000
37,0,45,82
55,0,16,71
55,1,70,-15
30,2,91,2730
2,0,18,20
34,1,37,-3
67,1,7,60
25,1,23,2
10,3,42,0.238
7,0,19,26
86,0,98,184
20,3,39,0.513
47,3,15,3.133
46,2,48,2208
94,1,34,60
11,3,69,0.159
60,0,84,144
55,3,5,11.0
87,0,6,93
1,3,20,0.05
57,2,32,1824
46,0,32,78
21,2,14,294
9,3,51,0.176
54,3,28,1.929
97,3,40,2.425
78,0,43,121
61,2,80,4880
35,1,45,-10
90,2,93,8370
67,3,68,0.985
68,1,15,53
30,3,2,15.0
67,2,71,4757
80,0,69,149
72,1,24,48
1,2,80,80
17,3,57,0.298
88,0,62,150
36,1,46,-10
71,2,88,6248
50,2,24,1200
62,3,100,0.62
11,2,62,682
64,1,50,14
54,2,64,3456
5,3,71,0.07
27,2,98,2646
72,0,88,160
35,0,2,37
57,0,47,104
73,3,46,1.587
62,2,82,5084
86,2,4,344
27,1,46,-19
65,1,51,14
40,0,3,43
72,3,31,2.323
62,0,48,110
29,1,73,-44
23,1,67,-44
68,3,23,2.957
9,0,50,59
93,2,71,6603
27,0,21,48
22,1,41,-19
84,1,75,9
80,3,59,1.356
24,1,68,-44
37,3,24,1.542
100,3,97,1.031
32,0,22,54
65,3,74,0.878
90,2,95,8550
40,0,70,110
46,1,100,-54
1,1,27,-26
11,2,64,704
65,2,60,3900
74,2,42,3108
42,3,3,14.0
27,3,40,0.675
84,3,63,1.333
89,2,17,1513
84,1,8,76
33,2,96,3168
60,2,50,3000
74,2,1,74
71,2,52,3692
10,0,44,54
58,1,56,2
22,3,69,0.319
59,0,11,70
9,3,17,0.529
48,3,30,1.6
9,3,52,0.173
54,1,77,-23
13,3,94,0.138
46,1,33,13
68,3,79,0.861
82,0,100,182
65,2,24,1560
52,2,34,1768
16,3,7,2.286
23,2,35,805
23,2,37,851
25,2,39,975
30,0,22,52
51,1,87,-36
34,2,3,102
54,1,10,44
86,1,84,2
80,1,78,2
100,2,69,6900
92,2,92,8464
44,1,100,-56
42,0,34,76
9,3,1,9.0
60,0,5,65
64,2,24,1536
17,2,58,986
80,2,23,1840
86,3,93,0.925
17,1,6,11
43,1,74,-31
81,1,79,2
7,1,96,-89
4,1,88,-84
12,0,8,20
51,1,20,31
34,0,53,87
69,3,26,2.654
31,0,78,109
86,1,17,69
80,1,11,69
2,1,91,-89
44,1,33,11
13,1,41,-28
23,3,78,0.295
21,0,38,59
76,3,48,1.583
10,1,37,-27
1,2,1,1
43,1,7,36
81,1,12,69
7,1,29,-22
45,1,34,11
96,2,31,2976
4,1,21,-17
5,0,64,69
87,2,41,3567
12,0,75,87
26,3,31,0.839
55,3,1,55.0
