Valor1,Codigo_Operador,Valor2,Resultado
4461,1,8200,-3739
3982,1,7750,-3768
5373,1,4844,529
1877,1,8798,-6921
2318,1,5732,-3414
2622,1,6917,-4295
7610,1,3343,4267
9076,1,3771,5305
2731,1,7273,-4542
8225,1,6127,2098
6109,1,4635,1474
3502,1,8376,-4874
627,1,1777,-1150
9620,1,340,9280
2659,1,2963,-304
1989,1,3293,-1304
2051,1,4962,-2911
526,1,5169,-4643
4280,1,2926,1354
1714,1,2635,-921
4635,1,4892,-257
1390,1,4650,-3260
8544,1,4942,3602
8783,1,270,8513
1403,1,8577,-7174
9203,1,1740,7463
7173,1,1318,5855
1680,1,8936,-7256
2698,1,6210,-3512
7042,1,2089,4953
6566,1,8057,-1491
8904,1,6181,2723
401,1,758,-357
6044,1,2750,3294
1403,1,3955,-2552
1681,1,201,1480
4907,1,475,4432
9756,1,5199,4557
6898,1,8620,-1722
2276,1,3879,-1603
4931,1,6654,-1723
8465,1,3131,5334
1881,1,8923,-7042
3924,1,950,2974
5515,1,1675,3840
2307,1,3697,-1390
4346,1,7455,-3109
3987,1,5017,-1030
7539,1,5929,1610
9799,1,654,9145
5568,1,5752,-184
6889,1,6212,677
4060,1,7173,-3113
1211,1,7238,-6027
3250,1,1246,2004
8005,1,4115,3890
7056,1,9871,-2815
7124,1,2592,4532
4501,1,9690,-5189
9235,1,675,8560
4845,1,9084,-4239
411,1,9199,-8788
1883,1,4565,-2682
1825,1,410,1415
5345,1,6593,-1248
9369,1,6275,3094
3946,1,8154,-4208
6368,1,7433,-1065
1338,1,6143,-4805
4343,1,8646,-4303
7343,1,283,7060
3964,1,2353,1611
97,1,5764,-5667
6992,1,8977,-1985
2828,1,642,2186
1050,1,5540,-4490
4637,1,1648,2989
3879,1,2663,1216
6241,1,9788,-3547
6273,1,9294,-3021
9086,1,1681,7405
5420,1,5765,-345
3872,1,1685,2187
9158,1,6172,2986
9065,1,2547,6518
6117,1,4156,1961
4346,1,2171,2175
1613,1,994,619
3110,1,2002,1108
4012,1,7785,-3773
3911,1,4352,-441
3468,1,7450,-3982
3156,1,5170,-2014
3818,1,5384,-1566
1292,1,9045,-7753
5189,1,7995,-2806
6529,1,5379,1150
4136,1,5297,-1161
1122,1,3847,-2725
7286,1,3869,3417
6938,1,8332,-1394
9874,1,6982,2892
3303,1,718,2585
7451,1,1502,5949
4915,1,2581,2334
1681,1,1312,369
8380,1,1895,6485
1308,1,3815,-2507
9529,1,6047,3482
5995,1,8698,-2703
8634,1,5054,3580
1080,1,5402,-4322
3146,1,3712,-566
3085,1,5268,-2183
716,1,6732,-6016
9122,1,431,8691
8822,1,3229,5593
4106,1,3217,889
6533,1,2143,4390
3684,1,2442,1242
1730,1,7103,-5373
4292,1,2648,1644
6561,1,8585,-2024
6627,1,6844,-217
6483,1,7518,-1035
5575,1,4553,1022
5184,1,4273,911
1558,1,5121,-3563
3476,1,9784,-6308
2354,1,5122,-2768
7270,1,2726,4544
9910,1,3451,6459
4544,1,8541,-3997
6813,1,1021,5792
7620,1,4199,3421
9578,1,6243,3335
5004,1,9317,-4313
8130,1,8152,-22
1959,1,8780,-6821
7047,1,7399,-352
4335,1,9664,-5329
1147,1,5410,-4263
7362,1,8411,-1049
9775,1,7120,2655
5296,1,5180,116
6771,1,889,5882
5139,1,937,4202
7252,1,8271,-1019
2148,1,9786,-7638
3734,1,4742,-1008
7031,1,9191,-2160
6212,1,4559,1653
571,1,2069,-1498
6078,1,6096,-18
6019,1,8921,-2902
5311,1,8006,-2695
7874,1,6082,1792
101,1,2973,-2872
8023,1,2435,5588
3996,1,7614,-3618
2445,1,9222,-6777
822,1,9572,-8750
3296,1,5108,-1812
2886,1,8549,-5663
4902,1,6952,-2050
5762,1,1698,4064
6956,1,1294,5662
1382,1,8267,-6885
4089,1,1685,2404
5913,1,9078,-3165
9955,1,7180,2775
1877,1,2684,-807
6966,1,3586,3380
920,1,4807,-3887
6656,1,5953,703
4804,1,5926,-1122
3458,1,4336,-878
716,1,5214,-4498
2255,1,628,1627
2601,1,5963,-3362
6616,1,1965,4651
1769,1,8033,-6264
4983,1,6595,-1612
6382,1,9570,-3188
745,1,3613,-2868
7958,1,9947,-1989
3074,1,8495,-5421
1235,1,2903,-1668
3942,1,9350,-5408
7150,1,9933,-2783
5315,1,9300,-3985
2069,1,8230,-6161
9769,1,1392,8377
4416,1,9442,-5026
3493,1,8289,-4796
7533,1,1276,6257
8364,1,1869,6495
2268,1,2472,-204
2523,1,8166,-5643
7243,1,6786,457
3698,1,8562,-4864
7803,1,7345,458
7812,1,8239,-427
2853,1,5923,-3070
7674,1,1234,6440
1107,1,5650,-4543
4671,1,1375,3296
47,1,4543,-4496
1291,1,1404,-113
1585,1,5882,-4297
4023,1,1420,2603
9116,1,983,8133
694,1,5777,-5083
4062,1,3682,380
6940,1,6736,204
843,1,4713,-3870
2755,1,1252,1503
4654,1,1293,3361
2464,1,5462,-2998
7350,1,87,7263
6659,1,2533,4126
2117,1,6230,-4113
5599,1,7968,-2369
4137,1,7828,-3691
4194,1,3534,660
1196,1,982,214
2450,1,8992,-6542
4679,1,8048,-3369
36,1,6397,-6361
7434,1,8283,-849
8850,1,1321,7529
6879,1,7490,-611
9406,1,4659,4747
26,1,5781,-5755
3599,1,5314,-1715
2069,1,8043,-5974
5993,1,1480,4513
3863,1,6327,-2464
225,1,9049,-8824
3181,1,4854,-1673
5232,1,5659,-427
3631,1,5457,-1826
5222,1,1624,3598
5662,1,9627,-3965
2115,1,7089,-4974
4874,1,7431,-2557
9939,1,6933,3006
5404,1,6745,-1341
6063,1,5106,957
606,1,4808,-4202
4476,1,3532,944
2507,1,7136,-4629
3631,1,6626,-2995
8694,1,8356,338
2508,1,4983,-2475
5569,1,8319,-2750
511,1,2340,-1829
5932,1,8409,-2477
9080,1,334,8746
9025,1,4497,4528
7293,1,1439,5854
1525,1,4821,-3296
5969,1,3892,2077
9482,1,421,9061
118,1,1164,-1046
2237,1,1144,1093
1549,1,9142,-7593
4001,1,8703,-4702
2537,1,3112,-575
424,1,1497,-1073
4814,1,5263,-449
1670,1,4942,-3272
1490,1,772,718
5097,1,1772,3325
9017,1,1605,7412
6694,1,7382,-688
6212,1,5364,848
1443,1,5154,-3711
2705,1,7658,-4953
619,1,5518,-4899
2254,1,2539,-285
9907,1,2268,7639
9978,1,4382,5596
6348,1,6698,-350
5068,1,6692,-1624
1626,1,3405,-1779
5084,1,5563,-479
3186,1,6292,-3106
6066,1,5821,245
1645,1,7214,-5569
8407,1,2622,5785
5353,1,6808,-1455
7200,1,8587,-1387
8642,1,6860,1782
3583,1,3812,-229
5719,1,1128,4591
6002,1,5934,68
8235,1,2763,5472
321,1,9433,-9112
2957,1,8938,-5981
1828,1,4809,-2981
